"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HSF5",19.6345458970985,3.45319191695978e-06,0.0014426953338658,0.00446011914814897,0.0152802642645803
"NRP1",2717.11992636427,0.34958470153259,0.384890385646518,0.00446773810906947,0.0153037443468794
"RBMXL1",293.985639684225,0.37977190451461,0.551180290187664,0.00446893406559496,0.015305218860484
"ELK1",1238.36548386228,-1.56454832319145e-05,0.00144269590577653,0.00447094150566879,0.0153094715643675
"SNRPA",2288.63291490065,-1.03182316696902e-05,0.00144269563229748,0.00447629442344874,0.0153251764901428
"CASR",44.5513930649836,1.53606055702717e-06,0.00144269520782431,0.00448112162137317,0.015339076476243
"SLFN14",22.1094269941795,3.84799323156723e-06,0.00144269540138982,0.00448365663107994,0.0153451267856577
"ANKEF1",172.842810360078,0.568699655161063,1.12227528336151,0.00448538579095567,0.015345791154067
"AMIGO2",375.479067051086,0.521909298643002,0.832312368154734,0.00448527470233026,0.015345791154067
"FBXW5",3604.42924772431,-8.29098896680634e-06,0.00144268340856341,0.00449601430386984,0.015378816431053
"FKBP1C",34.3976527568123,2.6905041151055e-06,0.00144269532529669,0.00449657701590155,0.015378816431053
"SRR",449.041243728219,2.69391743030276,0.35272933739139,0.00450318377558656,0.0153966123385129
"DENND6B",842.619492938287,-0.320592704847279,0.409958845954806,0.00450332044391435,0.0153966123385129
"MRPL38",2694.89738560152,-0.369207735782193,0.949920083098604,0.00451075784584875,0.0154194037219866
"TEF",576.952406957468,0.539230545220039,0.811649576437664,0.00451752977465623,0.0154399128742695
"C6orf223",175.987686519718,-4.27859559831865e-06,0.00144269541312032,0.00452646700925636,0.0154678142852626
"RBMS1",1949.22861007161,0.261312919885986,0.273965145592377,0.00453045407063534,0.0154787933506977
"AL645730.2",62.8508480489983,6.74269424563106e-06,0.00144269550587225,0.00453211465756424,0.015481821367391
"PCID2",1110.21280670425,-1.4049140981504e-05,0.00144269570214787,0.00453406904842194,0.0154820271166529
"PDZD8",653.936118350331,0.31452444186903,0.409620325918786,0.00453449788912271,0.0154820271166529
"TSPEAR",48.0373150805922,5.50033614803934e-06,0.00144269544557088,0.00453381616432871,0.0154820271166529
"AL109659.1",26.480813235628,1.89513064708195e-06,0.00144269524726127,0.00453628690409609,0.0154854909271807
"CNTNAP4",21.4149560909219,5.1442562168251,1.07654379151236,0.00454128908202244,0.0154999204346119
"MKRN3",240.549493831295,-5.09177757431388e-06,0.00144269544130195,0.00454826539816517,0.0155210818178724
"DCBLD2",1684.59440905316,0.337167202011307,0.38458131962002,0.00455635363910156,0.0155426102567255
"RBBP5",1594.24700553225,0.529349358594006,0.755967280718511,0.00455597254247863,0.0155426102567255
"ABHD17C",540.430502745706,-0.348762467708943,0.534306125789031,0.00455690613808767,0.0155426102567255
"PAH",116.551321667408,3.05599170783767e-06,0.00144269535472936,0.00456120068065576,0.0155546045384669
"NKX1-1",29.5813470580267,3.34883862055268e-07,0.00144269505466466,0.00457072991861192,0.0155844430410516
"AMELX",30.1163106802587,5.08044897789099,0.826814432946523,0.00457601577829694,0.0155998055364483
"RIPK1",665.722835482,1.05638110363483e-05,0.00144269562090095,0.00457778546806891,0.0156031780853341
"BCL2L12",833.134785524652,-7.99943271385106e-06,0.00144269550118413,0.00458420580395862,0.0156217965741941
"DGKB",273.284832248408,0.520896154130384,1.36488533943121,0.00458481055803596,0.0156217965741941
"RRBP1",4362.07119408235,-0.317981986117662,0.360066267218666,0.00459128080304202,0.0156411770959315
"AC007773.3",148.436804128083,-5.63233735070066e-06,0.00144269544565938,0.00459520279655065,0.0156518713312153
"PIGR",2258.3174450084,0.713469926280668,2.72802898664971,0.00459983100226031,0.0156649669663077
"NME7",725.596433865688,0.379364411603128,0.603037533205723,0.00460145309744668,0.0156678224166126
"KCNH4",26.1116423500665,6.6021870786829e-06,0.0014426953942862,0.00460381241079574,0.0156731866748595
"ORMDL2",945.77845768135,-9.68580973151438e-06,0.00144269552968728,0.00460810378326173,0.015685125475406
"TRAT1",69.9623504187837,4.86696498409399e-06,0.00144269543730439,0.00462195072478082,0.0157289656099011
"TCL1B",52.1918686865542,5.82941177256231e-06,0.00144269545775883,0.00462255686324793,0.0157289656099011
"EDEM2",694.049910903184,-1.27686422589302e-05,0.00144269553948157,0.00462568146869571,0.0157369193951169
"ADAM18",37.4765139740381,9.82859215087216e-07,0.00144269513496455,0.00464111866698708,0.0157840664445892
"LSM2",924.050149023711,-8.03481343136885e-06,0.00144269543072835,0.00464066721135092,0.0157840664445892
"CELA3A",35.1163482301625,9.87523275507019e-07,0.00144269513553049,0.0046437137737674,0.01579020632529
"TCTEX1D2",480.804401284823,-7.80057012192193e-06,0.00144269546585394,0.00464611000620815,0.0157956679925397
"MOGAT1",83.9206857112981,2.42616824835563e-06,0.00144269529666926,0.00466185483666905,0.0158465021428699
"LRRC61",720.369309812644,-1.03859828897576e-05,0.00144269547236411,0.00466380971021068,0.0158484837661721
"RP11-766F14.2",45.5196486156199,2.17225612023551e-06,0.00144269527242191,0.00466402313094711,0.0158484837661721
"EED",450.398262225774,0.440876219355895,0.931547793873272,0.00467276974086808,0.0158728097517697
"RAD21",2079.99460717239,-9.59266159050728e-06,0.00144269545405369,0.0046721045055913,0.0158728097517697
"AC026310.1",65.4601826222093,5.4764156085001e-06,0.00144269543914262,0.00467567323724748,0.0158799746399739
"THRA",1023.57893699054,1.04941395607505e-05,0.00144269552401116,0.00469165894611752,0.0159315606264731
"KIAA1715",567.226824412242,0.396964368512382,0.826625100917248,0.00469702527445127,0.015947074772861
"PIF1",1472.48780171863,-1.02598570506795e-05,0.0014426954335545,0.00470174768867899,0.015960397841672
"C15orf56",65.5985625229265,4.90013369885389e-06,0.00144269540759958,0.00470264159128011,0.015960722453922
"HRNR",196.769427879117,8.36534077617777e-06,0.00144269540768325,0.00470426104663677,0.0159635090574432
"PIEZO2",439.817519454585,0.496432998071776,1.83974875909972,0.00470999207625622,0.0159802446245829
"SYT1",106.335208656237,5.69903018632749e-06,0.00144269543942829,0.00471924751041089,0.0160067805833076
"DENND2C",445.457425199805,0.479507814092834,1.03822739619311,0.00471941440125029,0.0160067805833076
"SPOP",2187.67908727544,0.216470046289744,0.272955500401793,0.00472521877933468,0.0160213342470296
"GNB2",8040.0889989636,-8.38311859028294e-06,0.00144269542204313,0.00472530799513522,0.0160213342470296
"ADNP",1352.96560189641,-0.329963524052791,0.454836156649436,0.00472686726495897,0.0160239037123753
"GBE1",418.214182416986,0.455085315270998,1.21288857568218,0.00472837358941189,0.0160262928541619
"CDK10",4218.962006802,-0.272437449917926,0.354348931691094,0.00473661616527804,0.0160515090861981
"ADPGK",2697.22630397609,-0.20586545238344,0.232836977818537,0.00474074328810627,0.0160627726321635
"UBE2NL",26.2755760377453,1.18423008526465e-06,0.00144269515983576,0.00474451531632751,0.0160701065957398
"C6ORF165",44.4427307270035,4.72097525602504e-06,0.00144269529169131,0.00474386566333315,0.0160701065957398
"WISP1",482.246248310152,-8.16712952078638e-06,0.0014426954094194,0.00474985732837044,0.0160851671115145
"SMR3B",49.140324349997,1.32141676530475e-06,0.00144269517744257,0.00475057076090292,0.0160851671115145
"C16orf47",27.7175533442049,2.04663124662124e-06,0.001442695255112,0.00475689660207651,0.016103858899749
"UBE2I",3844.86601808603,-0.181494238530571,0.215859275796907,0.00477197229890095,0.0161521608505545
"CDK2AP2",1572.82760986528,-1.03989194656124e-05,0.00144269536644775,0.00477512377799414,0.016160092216861
"ZNF789",1225.26464047829,-1.60101048707344e-05,0.00144269523678372,0.00478013104531014,0.0161743002402997
"MRPL4",1865.08279844545,-1.40474200194364e-05,0.00144269527570848,0.0047862368766164,0.0161894806481252
"CHTOP",1541.92064761595,-0.317172153984504,0.502861272780216,0.00478609443610655,0.0161894806481252
"KIAA0319",31.1092740832245,4.93304012077784e-06,0.00144269539133323,0.00479077485021347,0.016202089369954
"CLDN22",16.4703093093748,1.63483122916518e-06,0.00144269521139127,0.00479294312704336,0.0162066810218341
"CD164L2",160.514573967769,6.31870693228044e-06,0.00144269542668011,0.0047952720955818,0.0162097390625424
"KCNK12",121.866905385289,6.8812962705631e-06,0.00144269534614759,0.00479546896843744,0.0162097390625424
"KLHL8",399.016546707873,0.316802150734832,0.556899045265659,0.00480296863135484,0.0162316930245802
"ZBED6CL",246.532990441532,-8.04991143458152e-06,0.00144269537630071,0.00480358745755933,0.0162316930245802
"EXOC1",522.401906265218,0.463634375927145,3.72993656756086,0.00480649180539953,0.0162387626152684
"USP48",1081.09864996783,0.770604088168418,0.178704649963027,0.00481551290507875,0.0162658863334217
"ING5",1563.67790111038,2.37218080180259e-05,0.00144269501064461,0.00481614719885249,0.0162658863334217
"CLDN18",109.815805260345,1.00598928142499e-05,0.00144269537456753,0.00482132715508766,0.016280630829053
"TBC1D16",1441.5646773714,-0.341397080441844,0.552843022817826,0.0048278929862359,0.016300049369605
"ZNF676",61.8217893265821,5.78914417675461e-06,0.0014426952462772,0.0048307608227323,0.0163069782018757
"OR6J1",32.9049093795017,1.23860202646257e-06,0.00144269516610129,0.0048343348124341,0.0163162880215745
"LGI3",56.0966467933661,2.44028280978023e-06,0.00144269528711938,0.00483742878955767,0.0163239748891842
"DENND4A",514.48130727096,0.441277831659918,0.97209066017915,0.00484085686010416,0.016332786375451
"CDK17",1213.37634176103,1.34374807025565e-05,0.00144269530219659,0.00484980825405016,0.0163602271353938
"AL591479.1",4013.05460388548,0.437298330166722,0.543433210138369,0.00485302667061392,0.0163683224109742
"RENBP",1305.58890244823,-0.249459252923441,0.500265742536411,0.00485827889385709,0.0163736407882178
"TNR",38.4314219572261,4.54379024072917e-06,0.00144269537561746,0.00485642616436384,0.0163736407882178
"SLCO2B1",3189.2221653765,-1.04841392354868e-05,0.00144269528709519,0.0048581809910929,0.0163736407882178
"IRF7",4139.61340788038,-9.27492782529324e-06,0.00144269531610869,0.00485869814926958,0.0163736407882178
"TSTD1",2077.33039867582,-9.14379363539987e-06,0.00144269532521759,0.00485585363958917,0.0163736407882178
"AC087477.1",100.68024898585,4.54650130889169e-06,0.00144269533422133,0.00486349858679179,0.0163870560742021
"GPR55",102.097040259887,4.68652508238504e-06,0.00144269525620435,0.00486691425844334,0.0163956576844917
"ZNF280B",41.9760210841501,4.76326170106099e-06,0.00144269534499781,0.0048676915082096,0.0163956576844917
"APOE",13787.1776589684,-1.00671360735494e-05,0.00144269526305168,0.00489053136453146,0.0164698137278831
"MOCS2",320.727390112516,1.18198307618926e-05,0.00144269526828742,0.00490132471402534,0.0165033826763595
"GCNT1",496.650434303106,-8.02158805755449e-06,0.00144269532472338,0.00490610861157433,0.0165139285487908
"TNF",162.474628367657,-7.61231773824337e-06,0.00144269533161432,0.00490606261077649,0.0165139285487908
"UBAC2",1859.58964524653,-0.228759558709492,0.384038749190758,0.00490914808180031,0.0165213780083345
"NTN4",1482.51029121072,7.76484397537885e-06,0.00144269538899135,0.00491068351326318,0.0165237640801387
"PLAU",1649.58511570668,-7.14819945450638e-06,0.00144269533767171,0.00491294434598618,0.0165285898121568
"MBOAT7",3499.78774909327,-1.01058160022173e-05,0.00144269522866247,0.00491542285324001,0.0165341461183851
"C8G",138.784793135605,-6.55676175298129e-06,0.00144269534686282,0.00491865818133032,0.0165422458666978
"SATB1",1017.17654829169,0.33578864102519,1.15143411262404,0.00492113783507668,0.0165455194508533
"ARL4C",888.828059214591,-1.09491847097791e-05,0.00144269520962275,0.00492128659468965,0.0165455194508533
"ZC3H8",1033.81355487765,6.89573526690145e-06,0.00144269538789418,0.0049309045423403,0.016575068160651
"RAB1B",4318.01559843721,-0.396184482389715,0.59185443242483,0.00494064506905789,0.0166050189125472
"AC003102.1",527.202217305873,7.98018508046484e-07,0.00144268378110521,0.00494157620546014,0.0166053570843647
"DOCK4",813.251726014978,1.31557634580843e-05,0.00144269518536915,0.00496538871559415,0.0166825713291194
"ANKMY2",244.082743055393,2.25466070013725,0.226984040546956,0.00496709246762691,0.01668549173349
"GUCD1",2803.51441749848,-1.22068314222763e-05,0.0014426980099687,0.00496797110850267,0.0166856399031417
"YLPM1",1514.14502417869,0.248156931156119,0.338014887892223,0.00497579683462842,0.0167091168813505
"GALNS",2404.6479428795,-1.5361673563797e-05,0.00144269484497679,0.00498807799054873,0.0167475451457651
"LCP1",1380.84009613974,-9.82500330165338e-06,0.00144269519962624,0.0049923609457483,0.0167591109384304
"RP11-160N1.10",207.006942593566,6.55190835690566e-06,0.00144269512637367,0.00500897289301643,0.0168120537221707
"SSR1",1587.9034391649,-1.31040358586364e-05,0.00144269497543356,0.00501371993248671,0.0168251621903557
"IQCF1",30.9876694350601,1.34068989161813e-06,0.00144269517586394,0.00502342191816676,0.0168548913965139
"ZNF750",663.099273074409,9.05719055015647e-06,0.00144269517465338,0.0050251460590921,0.0168578473666925
"ADH6",102.867330084427,5.37778309471634e-06,0.00144269535543168,0.00503524818880387,0.0168889032522974
"RPS6KB2",2119.02341764011,-1.46794199714794e-05,0.00144269479386629,0.00504685851679444,0.0169250065724234
"CTPS2",402.447723212976,-9.59472437283771e-06,0.00144269517587183,0.00505009756942493,0.0169278217172718
"CSN1S1",160.342403675554,1.2921832908742e-06,0.00144269517470077,0.00505023789854589,0.0169278217172718
"DNAJC18",381.950622752443,1.36093887078978e-05,0.00144269450277187,0.0050501218844788,0.0169278217172718
"LRRFIP2",1898.31985429589,0.244203146319176,0.3175509338169,0.00505229580132999,0.0169318810344941
"C5orf51",252.25256021657,1.20331392846627e-05,0.0014426946436755,0.00505953905201763,0.0169533138605732
"NKX3-1",74.3288945085716,7.38656517958011e-06,0.00144269500807513,0.00506282716303721,0.0169586473944993
"ACTG1",72579.8405475531,-9.38447956255896e-06,0.00144269510961306,0.00506246967865926,0.0169586473944993
"CPEB2",421.905852137286,8.54413024300291e-06,0.00144269518012989,0.00506391766608543,0.016959458930605
"MTHFR",1619.0840439978,0.238776088704178,0.656723721268576,0.00506773901631706,0.0169694144853866
"SLC5A2",213.467125914484,7.06181741804972e-06,0.00144269507652696,0.00506997700316558,0.0169712238743165
"PLGLB1",617.150626455177,1.10469871100539e-05,0.00144269434311257,0.00506920966872091,0.0169712238743165
"SLC19A1",1445.010409039,-0.310472244259958,0.704697922335667,0.00508200216657112,0.0170086292799503
"CYLD",796.410232298276,2.34496167356342e-05,0.0014426937179916,0.00508482316090625,0.0170152224734995
"RASAL3",838.242951085786,-8.66443568238614e-06,0.00144269517743122,0.00510771874436939,0.0170889773385076
"CD8A",527.554329814267,-8.95870937176877e-06,0.00144269516257202,0.00511113317438306,0.0170971797192221
"FER1L6",7.91849611872799,2.81146047062861e-06,0.00144269527706052,0.00511188058225017,0.0170971797192221
"KNOP1",763.915387147441,-1.63354864642002e-05,0.00144269447846961,0.00511692902969794,0.0171054805249592
"C5AR2",826.249139549702,8.07074093733877e-06,0.00144269489034557,0.00511633854711195,0.0171054805249592
"EFCAB10",51.3177196800625,4.82651761991119e-06,0.00144269533974711,0.00511581997873507,0.0171054805249592
"NAT1",111.177147894694,6.41627621343161e-06,0.0014426953067314,0.00512338850175565,0.017121348772205
"KRT28",22.7861451652807,6.39950973556957e-07,0.00144269508767954,0.00512294189668812,0.017121348772205
"MTHFD1L",839.238188539518,-8.58845219152123e-06,0.00144269517506667,0.00512443686897481,0.017121990434205
"RAB27B",276.933703770674,8.45832646394608e-06,0.00144269515407795,0.00512851738981564,0.0171327613520424
"C1QTNF2",89.3799536750276,7.61680050066338e-06,0.00144269525533449,0.00513481854879217,0.0171509458844889
"RGS7BP",65.986509324561,4.35366943250696e-06,0.00144269512539627,0.00514110140584045,0.0171661959766823
"CCDC160",24.1225458024941,2.39753690311623e-06,0.00144269526587525,0.00514056722292163,0.0171661959766823
"OR13G1",46.3131043526837,2.94760010950727e-06,0.00144269531640486,0.00514271633204021,0.0171687210457192
"OASL",266.431206103638,-6.2531941536076e-06,0.00144269527844565,0.00514806894983334,0.0171837212993269
"POTED",10.6524984476994,7.07147321064251e-07,0.00144269509675647,0.00516652540405304,0.0172424484941807
"STARD7",2143.44817275265,-0.42427450254199,0.389339615987756,0.0051822252806391,0.0172919579874997
"BAG3",1741.34861465259,0.397180293352023,1.20799958354624,0.005184539677782,0.0172939082945568
"ZNF91",1345.3749459871,1.7670359289211e-05,0.00144269436961148,0.00518423766144691,0.0172939082945568
"CCL22",330.488497684492,-1.26279853840441e-05,0.00144269422945779,0.0051888725380057,0.017305474149272
"VCAN",5160.55514744527,-1.09908722371419e-05,0.00144269498191686,0.00519395073124873,0.0173195215010986
"GUCA1B",172.081658525165,1.33010469665015,0.355235327240398,0.00520140393364976,0.0173385912386451
"IFNA5",42.8641215447298,5.38532529114627,1.6295513967156,0.00520089179337328,0.0173385912386451
"CYBRD1",3448.60040102389,0.400878738647847,0.467165961426953,0.00520429517915106,0.0173424463019911
"MLXIP",3778.69781794064,-2.29479835501078e-05,0.00144269312880257,0.00520408286457235,0.0173424463019911
"DGUOK",1062.22611802414,-8.79405621532109e-06,0.0014426951102821,0.00520723614212233,0.0173493550117637
"MTFP1",312.893767269515,-6.66270796725282e-06,0.00144269523531965,0.00521745526012744,0.0173805065763059
"RP11-863K10.7",53.7613473673422,2.35289622657359,0.415775793466084,0.00522033254805728,0.0173871945636944
"GARNL3",866.67594243789,1.24638581821382e-05,0.00144269486267474,0.0052242901587145,0.0173974779202761
"CREBRF",770.46095188799,1.07342363294162,0.153153519983625,0.00522842600724618,0.0174083513053922
"C3orf36",47.8119580007778,4.91897755428394e-06,0.00144269512990897,0.00523266772473144,0.0174195735078722
"TBR1",59.0684231162142,1.93492279638817e-06,0.00144269523151366,0.00524608132131563,0.0174596037415321
"CORO6",405.30471728894,8.30471260070872e-06,0.00144269493858476,0.00524643889562493,0.0174596037415321
"GOSR1",2170.05501031311,0.21051690212739,0.262973839771642,0.00524772802186255,0.0174609875302246
"CALM2",4342.45286073738,-6.42458462380242e-06,0.00144267089371497,0.00525415393378502,0.0174794598589181
"AVPR2",233.878405995534,7.54291531205296e-06,0.00144269476707182,0.00526356655199856,0.0175078605291398
"VTCN1",1438.69390229038,-5.52162710384472e-06,0.00144269526492798,0.00526813077287817,0.0175201275237735
"OR5A1",27.6537931615228,3.56310840311836e-07,0.00144269505693618,0.00527487625906528,0.0175396434265344
"PDP1",1169.35330262335,-1.10065900709609e-05,0.00144269486538132,0.00527693076480844,0.0175435573181876
"HINT1",2672.7922314821,-1.10015752616286e-05,0.00144269483568282,0.00529645630767445,0.0176055440425009
"MATN3",213.960133508359,-5.4701657078636e-06,0.00144269525938879,0.00530582735268197,0.017633761982966
"MYL9",12747.8290940835,0.504715903665181,0.819719949320565,0.00530761022329537,0.0176367556597254
"C8orf56",40.6132102164628,1.42083341565343e-06,0.00144269518060071,0.00531547721413711,0.0176599620171913
"NEDD9",1502.42079903816,1.18715154381347e-05,0.00144269401214663,0.00531769058539427,0.0176628572811156
"SEMG1",22.4203126665624,5.73334382935849e-07,0.00144269507949795,0.00531811547625866,0.0176628572811156
"PDCL3",681.114788476108,1.08465421146337e-05,0.00144269491355842,0.00531949430570756,0.0176645024328711
"SNX2",1026.5419888376,1.11292305883189e-05,0.00144269408769785,0.00533108710982077,0.0177000590623973
"SSX1",17.0860131839526,5.53273601850824e-07,0.00144269507605004,0.00533902044059757,0.017723455867393
"LOH12CR2",1524.70452474073,6.22547776442296e-06,0.00144269527457441,0.00534459393606458,0.0177390124763737
"HMGN4",915.715497237612,-7.88114910213984e-06,0.00144269510397847,0.00534595407899153,0.0177405818847065
"CXCL16",1685.19174973403,-1.41555769566076e-05,0.00144269436383824,0.00534937038399212,0.017748973026475
"ETV7",192.216017898238,-6.73729647662439e-06,0.00144269518147495,0.00535193761486422,0.0177545446609582
"DTX1",399.926270791847,9.01382872418393e-06,0.00144269488258734,0.00535342311493005,0.0177565265029714
"HNRNPF",4233.55132545008,7.04785636357673e-06,0.00144267415959631,0.00536676697034322,0.0177948820572209
"NCR1",147.359952447567,5.90862969930052e-06,0.00144269502715901,0.0053664378524946,0.0177948820572209
"S100Z",26.9960434920993,3.01335318148142e-06,0.0014426952799359,0.00537417492125557,0.0178164903623916
"TMPRSS6",81.9350430906823,5.58672345110773e-06,0.00144269526049876,0.00537813110972618,0.0178266501007734
"RAD51AP1",222.671185570164,-6.47398778384745e-06,0.00144269518308953,0.0053922397970757,0.0178704529260288
"MRI1",2285.15231479998,-0.223925576128411,0.369957426234825,0.00539554299100233,0.0178728611669182
"ARHGAP27",2703.30802119121,-1.39885090532705e-05,0.00144269432119617,0.00539564819463432,0.0178728611669182
"VCX3B",42.5637282166865,2.52906113181552e-06,0.00144269531925084,0.00539509168389113,0.0178728611669182
"ADH7",45.7200056294827,2.7444360242171e-06,0.00144269525619258,0.00539808950256633,0.0178779860053522
"OR10A6",27.6405315101189,3.88076169465169,1.19726329777073,0.0054012951743059,0.0178856402310487
"SLC35F1",177.316331393785,7.52719745912919e-06,0.00144269483045808,0.00540234124125199,0.0178861418740838
"PILRB",5290.52725645936,-0.373099404049012,0.770309251675146,0.0054037026570095,0.0178876872391139
"LGALS7",2149.24335656026,2.39573312960722e-06,0.00144269526501952,0.00540572867754659,0.017891431746212
"NKX2-1",34.0712112755613,8.53798908580775e-07,0.00144269498718989,0.00540917728364394,0.0178998825900657
"KCNA5",51.734155263253,4.74662677810274e-06,0.00144269534632469,0.00541323715189299,0.0179103530721411
"PTPRT",135.013007443323,6.41052821642927e-06,0.00144269481563809,0.00541657738007143,0.0179184394667684
"TF",778.880478527953,9.28324774620647e-06,0.00144269499405834,0.00542419157317924,0.0179406594398918
"CYP19A1",75.5419257957102,3.20763875784682e-06,0.00144269498871432,0.00542605270608443,0.0179438468087086
"GALR2",35.7720887515764,4.70806852046713e-06,0.00144269527045865,0.00543419223102844,0.0179677922055867
"OR4S1",21.1548076560348,4.65795337634567e-07,0.00144269506845505,0.00545345299302927,0.018028495228609
"SS18L1",1237.25680134152,8.99034502202602e-08,0.00144266619796688,0.00545685672609638,0.0180367653135346
"SMARCE1",2151.72383280486,9.79261833552889e-06,0.00144269431471804,0.00546543504958095,0.0180591486335021
"FAM166A",65.3330118952413,5.49018624709226e-06,0.00144269524048497,0.0054654267764911,0.0180591486335021
"FAM153A",499.60023773107,6.85756486833354e-06,0.00144269478932481,0.00546717044843488,0.0180618978760752
"BEND5",172.029637363004,7.44291489510803e-06,0.00144269506249429,0.00547377314802129,0.0180807236612486
"FCAMR",40.4863822790386,2.22804272977155e-06,0.00144269555410628,0.00548722177640911,0.0181221526589897
"C6orf10",33.0560226004762,4.2730590099955e-06,0.00144269527278191,0.00548831882645495,0.0181227822652585
"ADCY10",46.2728405091898,4.81099210464218e-06,0.00144269567929172,0.00549260649193284,0.0181309516591886
"C2orf72",304.343335761123,-5.40401220194522e-06,0.00144269521547555,0.00549244985412846,0.0181309516591886
"EDAR",50.6161159316303,4.92615486735247e-06,0.00144269514832706,0.00549482672676189,0.0181352864930468
"WDR45",2854.54429133404,1.76633072977376e-05,0.00144269352303757,0.0055006085645375,0.0181486681179362
"PCDHGC3",694.049201857731,9.63586387094571e-06,0.00144269489335978,0.00550069664872928,0.0181486681179362
"TRABD",1983.58621457013,-9.31032730409186e-06,0.00144269375664285,0.00550315864907259,0.0181537954181748
"ASMT",45.7471902362588,3.76260611348075e-06,0.00144269527882888,0.00551463329540345,0.0181886469990592
"FOXN3",2885.42183604275,1.26441030100439e-05,0.00144269449079554,0.00551691040528165,0.01819315629939
"EFCAB5",80.9508427499362,4.98732180693439e-06,0.00144269457414701,0.00551803074086077,0.0181938500383856
"SLC18A3",41.0256397868483,1.07406295890777e-06,0.00144269514018154,0.00551901256773698,0.0181940869380599
"IPO5",2417.2106022453,-1.65930552557488e-05,0.00144269357590477,0.00552185960091039,0.0182004716222556
"PLAC1",41.8010592966206,1.36598164587495e-06,0.0014426951722611,0.00552303236372849,0.0182013365881634
"FAM109B",402.854075124969,-1.00174852399593e-05,0.00144269476280024,0.00552560368669278,0.0182068095108331
"OGFR",1538.45202262263,-3.44352929719813e-06,0.00144266538636129,0.0055296322554004,0.0182123816580421
"HRH2",156.400361737792,6.23672220962157e-06,0.00144269518177384,0.00553002746053684,0.0182123816580421
"GPS2",2013.94435864246,1.44452896128099e-05,0.00144269415402683,0.00552980457150775,0.0182123816580421
"ACTN4",16050.628482572,-1.04432853934098e-05,0.00144269467650474,0.00553412849117681,0.0182228862076069
"ZC3H12B",98.073758815625,1.09875401184579e-05,0.00144269344412511,0.00554100784938145,0.0182425343224984
"MRPL51",1446.98573208512,-9.21274633968706e-06,0.00144269485468897,0.0055539249472045,0.0182820506082329
"SLC39A5",137.817357984855,5.49103984403336e-06,0.00144269518534246,0.00555964649733174,0.0182978719452923
"VPS11",959.286002999251,3.56624120494417e-05,0.00144275630606458,0.00556434037914999,0.0183103063760245
"UCN2",98.5481881994471,5.83272377704552e-06,0.00144269519890928,0.00557218156019173,0.0183330916759048
"TBATA",27.9823196853047,2.26397065035439e-06,0.00144269523999261,0.00557361773138756,0.0183347997567231
"SLC22A17",1522.19358975947,1.05301485807827e-05,0.00144269461803252,0.00557546380939598,0.0183378554704825
"STAT5B",2396.04600132677,2.78347068877789e-05,0.00144269012500457,0.00558570709438719,0.0183685242837463
"CDX1",43.0498332940315,3.59644436602573e-06,0.0014426941272933,0.00558804759839373,0.0183731990926302
"TRIB2",1146.77056404971,-1.01137550664801e-05,0.0014426946877997,0.00560283495724548,0.0184187902228159
"AKAP2",1593.08617258461,1.0107191097266e-05,0.00144269409254059,0.00561785476460357,0.0184651303901831
"DUSP12",569.898815464719,-8.68146470853204e-06,0.00144269486913607,0.00562005050370325,0.0184693112707171
"SAP30",362.277591472495,-9.34593937503265e-06,0.00144269478176037,0.00562197316284072,0.0184725934951253
"SDHAF1",491.345279842203,-1.07671715588118e-05,0.00144269455379844,0.00562607709439052,0.0184830406548216
"SGSM3",3498.06891541236,-1.08177666780244e-05,0.00144269455087474,0.00562702716239181,0.0184831248701925
"HPS6",528.253364397254,-1.0298872598103e-05,0.0014426932773644,0.00563059432096175,0.0184901646521266
"OR51D1",26.5455628849371,3.6732114568467e-07,0.00144269505815271,0.00563171947323304,0.0184901646521266
"HLA-DPA1",6535.77785144859,-8.40725906928057e-06,0.00144269494656521,0.00563194471998855,0.0184901646521266
"B4GALT3",1764.99977535095,-6.15162449499583e-06,0.00144267877795638,0.00563464949054454,0.0184960075379983
"OR2G3",40.7904392465924,5.40365684197689e-07,0.00144269507517397,0.00563849155550728,0.0185055811163514
"CHAT",43.6856387491793,1.01998196298793e-06,0.00144269513300813,0.00564626199804274,0.0185280424074949
"SSX2",21.9543745715236,6.36645104588073e-07,0.00144269508707239,0.0056544773209448,0.0185519559492895
"SNX10",163.521595214946,-8.80293842548247e-06,0.00144269482424089,0.00565744710866828,0.0185586542232508
"TRAPPC13",285.665271932212,1.06050327956677e-05,0.00144269463466734,0.00565869028624801,0.0185596872675923
"PSMB10",1788.12172644032,-8.80112198012816e-06,0.00144269480896024,0.00566655722290176,0.0185824413834177
"AC104057.1",175.235201253646,5.3957937406386e-06,0.0014426952069511,0.0056766785417246,0.0186125796594362
"POLR2J",1090.46297041362,-7.54042840193913e-06,0.00144269498377942,0.00567772102855916,0.0186129454410579
"SCD",2466.76257566409,-7.39170515889157e-06,0.00144269498894648,0.00568565439406968,0.0186358973696769
"MRPL9",1289.43525132392,-1.07563839515779e-05,0.00144269450904368,0.00568947996121859,0.0186428188819192
"MTRNR2L6",10.3422285435706,1.7624390648292e-06,0.00144269520107506,0.0056896309301526,0.0186428188819192
"NYX",29.1965469788212,1.26719737886195e-06,0.00144269515953163,0.00569371902281797,0.0186531571591385
