"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AC004899.1",47.0180279188836,6.490689641006e-07,0.00144269511060951,1.20848898213225e-27,4.16595322564694e-25
"BMP15",16.0808465131367,6.47078202030862e-07,0.00144269510909863,1.49437187147991e-27,5.06414766074056e-25
"SOGA3",1778.13717992031,1.88587149444367,0.178621616657705,2.77264407915699e-27,9.23937428644414e-25
"MYOCD",248.218738404786,5.56435893713421,0.528365505212771,2.94301121823575e-27,9.49073649958155e-25
"SKOR2",24.0187873036253,7.18146900165153e-07,0.00144269512615884,2.93884594661013e-27,9.49073649958155e-25
"FAM21D",17.5485462684046,6.63781363511305e-07,0.0014426951129329,3.58014083341892e-27,1.13621167973616e-24
"LIMS3",4859.11758790913,3.17704235363434,0.303079498444022,4.99840501342192e-27,1.56153296622434e-24
"OR4E2",24.2497555976584,5.61321399500225e-07,0.00144269509165521,6.36264425779096e-27,1.9571493736965e-24
"FLG",1769.52644405444,5.19957657994514,0.505935564131534,4.31941396358974e-26,1.30852064830323e-23
"MYH11",5000.36092697119,2.96249849140911,0.289497367924198,5.76171131446981e-26,1.71939785106731e-23
"OR8B8",21.2532411042014,5.74227369179555e-07,0.00144269509412796,7.13018186878303e-26,2.09648318065364e-23
"CDHR1",425.945862299786,5.25193718130464,0.514593076539297,8.64075560573688e-26,2.5038154721899e-23
"OR8G1",20.6966098699845,5.7300029828186e-07,0.00144269509387847,1.54697246371564e-25,4.41859534850435e-23
"OR6C65",19.4230547259889,5.82862668006797e-07,0.0014426950957938,1.62126105871308e-25,4.56556247998723e-23
"BTG4",17.8480190196988,6.71719122583795e-07,0.00144269511479588,6.70506781233503e-25,1.8619600811087e-22
"OR8B3",17.8309765036042,5.7055617339879e-07,0.00144269509330033,8.41372181986759e-25,2.30443772693743e-22
"PANX3",18.0750936904711,6.01860500428961e-07,0.00144269509965878,1.15543086336074e-24,3.12184928135604e-22
"IFNA1",10.5448266145433,5.34250231932224e-07,0.00144269502336512,1.23934570465951e-24,3.30393040252829e-22
"CST9L",25.1421174640263,6.15641534204599e-07,0.00144269510271953,1.36564183584353e-24,3.59271616655995e-22
"LTB4R2",13539.218949841,2.05220537106122,0.20673493706052,1.52128614900705e-24,3.95020717704506e-22
"GRXCR1",16.897347088829,5.65883565891829e-07,0.00144269509235182,1.89016965264525e-24,4.84513487628066e-22
"MUC3A",4104.49727045761,2.56650141842222,0.259511073921075,2.5793620440025e-24,6.43082088595671e-22
"OR8B12",24.500628013951,6.1802830278986e-07,0.00144269510322158,2.55763136683253e-24,6.43082088595671e-22
"CLN3",119585.002672985,1.23437562829556,0.12733710682044,2.60526403802387e-24,6.43082088595671e-22
"ZNF709",2997.1905584404,1.69817410850618,0.172150209218828,2.77759528533388e-24,6.77259026036166e-22
